usuario,categorias_padre,subcategorias
user_318_1a26,"academia, deportes y bienestar, artes escénicas, evento tradicional, música","rap / hip-hop, skateboarding, picó, cumbia, exposición de arte, galería, emprendimiento"
user_750_9ef4,música,"música en vivo, mapalé, merecumbé"
user_468_5115,"academia, deportes y bienestar, evento tradicional, otros, música","conferencia, videojuegos / gaming, fiesta de fin de año, mapalé, ciclismo, voleibol de playa, carnaval barrial"
user_465_fd87,"artes escénicas, música, comunidad, deportes y bienestar","crossfit, minga barrial, grafiti / arte urbano, gaitas, rock, salsa"
user_706_c849,"otros, evento tradicional","festival gastronómico, moda / pasarela"
user_310_9dfe,"deportes y bienestar, artes escénicas, evento tradicional, gastronomía, comunidad","skateboarding, natación, carnaval barrial, cata de vinos / cocteles, stand-up comedy, evento infantil"
user_211_c208,"evento tradicional, música","rock, picó"
user_691_8d61,"academia, deportes y bienestar, evento tradicional, otros, música","tecnología, verbena, taller / workshop, turismo cultural, crossfit, cumbia, reggae, vallenato"
user_621_bb29,"academia, evento tradicional, gastronomía, comunidad, música","emprendimiento, mercado campesino, champeta, festival gastronómico, evento infantil, evento familiar"
user_986_8c85,"artes escénicas, otros","cineclub, turismo cultural"
user_625_d1d6,"artes escénicas, gastronomía, música, deportes y bienestar","performance, fútbol, exposición de arte, música en vivo, taller de cocina"
user_440_55ae,"gastronomía, deportes y bienestar, otros, música","fandango, skateboarding, jazz, videojuegos / gaming, cata de vinos / cocteles"
user_180_f6dc,"artes escénicas, otros, academia, música","emprendimiento, teatro comunitario, rap / hip-hop, tecnología"
user_218_d9a7,"música, deportes y bienestar","crossfit, rap / hip-hop"
user_143_3489,"artes escénicas, evento tradicional, academia","poesía / declamación, charla TED-style, picó"
user_239_08b2,deportes y bienestar,"fútbol, crossfit"
user_944_f101,"otros, academia","conferencia, tecnología"
user_178_ba80,"academia, artes escénicas, evento tradicional, comunidad, música","cineclub, mercado de pulgas, electrónica, emprendimiento, salsa, galería, verbena, rock"
user_503_71bb,"evento tradicional, música","reinado popular, fandango"
user_843_9329,"deportes y bienestar, artes escénicas, evento tradicional, gastronomía, música","stand-up comedy, gaitas, performance, novena navideña, yoga / meditación, cata de vinos / cocteles, fútbol, gastronomía"
user_576_3022,"deportes y bienestar, artes escénicas, evento tradicional, comunidad, otros, música","mercado de pulgas, poesía / declamación, artes marciales, turismo cultural, crossfit, merecumbé, desfile"
user_872_3b1c,"comunidad, evento tradicional, academia, otros","charla TED-style, desfile, evento infantil, moda / pasarela"
user_698_74cf,"academia, artes escénicas, evento tradicional, gastronomía, comunidad","stand-up comedy, charla TED-style, mercado de pulgas, mercado campesino, verbena"
user_412_1afd,"artes escénicas, música, deportes y bienestar","crossfit, skateboarding, performance, reggaeton, cumbia"
user_978_474e,"deportes y bienestar, academia, evento tradicional, música","vallenato, desfile, chandé, deportes, charla TED-style"
user_883_0e32,música,"merecumbé, gaitas"
user_536_08b5,"academia, artes escénicas, evento tradicional, comunidad, música","poesía / declamación, merecumbé, rap / hip-hop, mercado de pulgas, academia, reinado popular, reggaeton"
user_910_88f9,"gastronomía, academia, deportes y bienestar","fútbol, crossfit, charla TED-style, mercado campesino, skateboarding, deportes"
user_677_7edd,"otros, evento tradicional","novena navideña, moda / pasarela"
user_558_2cc6,"artes escénicas, evento tradicional, música","fiesta de fin de año, cineclub, salsa"
user_434_2d38,"comunidad, otros, academia, música","salsa, música en vivo, networking, evento infantil, religioso / espiritual, hackathon, videojuegos / gaming"
user_772_6078,"artes escénicas, evento tradicional, música","cumbia, cineclub, novena navideña, chandé, poesía / declamación"
user_195_c0a0,"academia, deportes y bienestar, artes escénicas, evento tradicional, gastronomía, música","grafiti / arte urbano, emprendimiento, poesía / declamación, conferencia, voleibol de playa, carnaval barrial, electrónica, gastronomía"
user_269_edd4,"gastronomía, academia, música","academia, mercado campesino, rock, salsa"
user_707_540c,"academia, deportes y bienestar, artes escénicas, evento tradicional, gastronomía, música","gastronomía, emprendimiento, reinado popular, voleibol de playa, desfile, títeres / marionetas, cumbia, fútbol"
user_921_9bbe,"deportes y bienestar, artes escénicas, gastronomía, comunidad, música","performance, natación, food truck, minga barrial, champeta"
user_303_f1f0,"artes escénicas, otros, evento tradicional, música","picó, exposición de arte, fotografía, porro"
user_553_2876,"gastronomía, comunidad, academia, música","champeta, cata de vinos / cocteles, chandé, merecumbé, networking, minga barrial, salsa"
user_829_9142,"deportes y bienestar, evento tradicional, música","cumbia, fandango, feria de artesanos, yoga / meditación, gaitas, festival gastronómico, artes marciales"
user_901_c21a,"academia, comunidad, evento tradicional, deportes y bienestar","natación, feria comunitaria, desfile, conferencia"
user_369_e313,"artes escénicas, gastronomía, música","exposición de arte, jazz, taller de cocina"
user_106_aa20,"artes escénicas, gastronomía, otros","videojuegos / gaming, taller de cocina, cineclub, stand-up comedy, food truck"
user_883_9a4c,"evento tradicional, deportes y bienestar","artes marciales, picó"
user_684_f67e,"artes escénicas, gastronomía, música, deportes y bienestar","deportes, teatro comunitario, galería, food truck, ciclismo, taller de cocina, fandango"
user_399_a0d8,"artes escénicas, gastronomía","gastronomía, galería"
user_399_3fb1,"academia, deportes y bienestar, artes escénicas, gastronomía, otros, música","voleibol de playa, teatro comunitario, food truck, religioso / espiritual, fandango, feria de ciencia"
user_343_359f,"gastronomía, academia, evento tradicional, música","carnaval barrial, cata de vinos / cocteles, rap / hip-hop, porro, academia"
user_640_7ecf,"artes escénicas, gastronomía, música","cata de vinos / cocteles, salsa, teatro comunitario, poesía / declamación"
user_813_08cc,"academia, deportes y bienestar, gastronomía, comunidad, música","chandé, voluntariado, mapalé, electrónica, porro, food truck, hackathon, natación"
user_142_e72c,"artes escénicas, deportes y bienestar, academia, música","teatro comunitario, cumbia, skateboarding, circo, charla TED-style, títeres / marionetas"
user_190_bd23,"artes escénicas, evento tradicional","carnaval barrial, performance"
user_845_2195,"artes escénicas, gastronomía, comunidad, música","taller de cocina, rap / hip-hop, danza folclórica, mercado de pulgas"
user_489_d6db,"comunidad, otros, academia, música","fotografía, feria de ciencia, evento familiar, moda / pasarela, mapalé"
user_402_b6fa,"academia, artes escénicas, evento tradicional, comunidad, música","salsa, poesía / declamación, desfile, minga barrial, networking, mercado de pulgas"
user_914_7495,evento tradicional,"festival gastronómico, reinado popular"
user_785_b17b,"deportes y bienestar, artes escénicas, gastronomía, comunidad, música","minga barrial, chandé, artes marciales, festival de mariscos, voleibol de playa, salsa, cineclub"
user_206_0c12,"academia, deportes y bienestar, artes escénicas, comunidad, otros, música","evento familiar, deportes, porro, jazz, turismo cultural, charla TED-style, danza folclórica, fotografía"
user_758_3d7a,"artes escénicas, evento tradicional, academia, deportes y bienestar","networking, artes marciales, emprendimiento, academia, natación, performance, circo, picó"
user_877_0770,"artes escénicas, evento tradicional","carnaval barrial, títeres / marionetas"
user_118_750d,"artes escénicas, academia, música","hackathon, stand-up comedy, fandango, merecumbé"
user_590_71f7,"otros, música","fotografía, champeta, reggae"
user_868_61bc,"gastronomía, otros, academia, música","rock, reggae, porro, taller de cocina, academia, moda / pasarela"
user_879_0aac,"gastronomía, comunidad, evento tradicional, música","food truck, cumbia, feria de artesanos, música en vivo, cata de vinos / cocteles, voluntariado"
user_661_b92a,"otros, deportes y bienestar","moda / pasarela, deportes"
user_301_7c69,"gastronomía, música, academia, deportes y bienestar","yoga / meditación, food truck, jazz, conferencia"
user_791_d160,"artes escénicas, gastronomía, comunidad, otros, música","evento familiar, cumbia, exposición de arte, festival de mariscos, taller de cocina, tecnología, evento infantil"
user_790_8e63,"artes escénicas, gastronomía, evento tradicional, música","rap / hip-hop, mercado campesino, exposición de arte, circo, picó"
user_200_9d2c,"artes escénicas, comunidad","minga barrial, teatro comunitario"
user_440_7e56,"artes escénicas, música, deportes y bienestar","artes marciales, salsa, crossfit, grafiti / arte urbano, música en vivo, deportes, circo, danza folclórica"
user_819_b20c,"academia, deportes y bienestar, evento tradicional, gastronomía, otros","voleibol de playa, academia, videojuegos / gaming, fútbol, cata de vinos / cocteles, reinado popular"
user_744_4ffa,"artes escénicas, deportes y bienestar, comunidad, música","mercado de pulgas, títeres / marionetas, salsa, yoga / meditación"
user_593_43a3,"artes escénicas, comunidad, academia, música","emprendimiento, reggae, cineclub, evento familiar"
user_709_157c,"gastronomía, otros, deportes y bienestar","fotografía, deportes, food truck"
user_911_0228,"artes escénicas, deportes y bienestar, academia, música","música en vivo, gaitas, ciclismo, emprendimiento, cineclub, danza folclórica"
user_207_bfdc,"artes escénicas, deportes y bienestar, otros, música","videojuegos / gaming, mapalé, stand-up comedy, natación, fotografía"
user_790_64ac,"evento tradicional, música","gaitas, festival gastronómico"
user_509_0be8,"evento tradicional, deportes y bienestar","reinado popular, crossfit"
user_966_5e34,"academia, deportes y bienestar, evento tradicional, gastronomía, otros, música","religioso / espiritual, artes marciales, mercado campesino, hackathon, chandé, verbena, feria de ciencia"
user_626_00a1,"academia, artes escénicas, evento tradicional, gastronomía, otros, música","fiesta de fin de año, religioso / espiritual, circo, mercado campesino, jazz, charla TED-style, emprendimiento"
user_695_277d,"artes escénicas, música, evento tradicional, deportes y bienestar","grafiti / arte urbano, feria de artesanos, novena navideña, ciclismo, electrónica"
user_170_64fc,"artes escénicas, evento tradicional, gastronomía, comunidad, música","mercado campesino, mercado de pulgas, poesía / declamación, rock, carnaval barrial"
user_912_d760,"gastronomía, música","salsa, festival de mariscos"
user_184_ac30,"artes escénicas, gastronomía, otros, evento tradicional","poesía / declamación, tecnología, reinado popular, food truck, verbena"
user_659_3bf3,"artes escénicas, evento tradicional","reinado popular, danza folclórica"
user_337_4ef8,"academia, deportes y bienestar, artes escénicas, evento tradicional, gastronomía, otros, música","networking, tecnología, festival gastronómico, danza folclórica, cata de vinos / cocteles, artes marciales, merecumbé"
user_381_ab15,"artes escénicas, academia, música","teatro comunitario, hackathon, mapalé, chandé"
user_624_fa20,artes escénicas,"grafiti / arte urbano, títeres / marionetas"
user_563_ccb8,"deportes y bienestar, artes escénicas, gastronomía, otros, música","festival de mariscos, tecnología, artes marciales, champeta, natación, grafiti / arte urbano, mercado campesino, cineclub"
user_952_9fc8,"música, deportes y bienestar","crossfit, reggae, deportes, rap / hip-hop, voleibol de playa, cumbia"
user_747_e8bc,"artes escénicas, deportes y bienestar, música","rock, galería, atletismo"
user_212_f7a5,"evento tradicional, deportes y bienestar","yoga / meditación, feria de artesanos"
user_910_9497,"academia, deportes y bienestar, evento tradicional, gastronomía, música","networking, gastronomía, crossfit, novena navideña, feria de artesanos, rap / hip-hop"
user_552_c2ae,"música, comunidad, evento tradicional, deportes y bienestar","voluntariado, reinado popular, fútbol, natación, vallenato, desfile"
user_874_78e2,"academia, deportes y bienestar, artes escénicas, evento tradicional, gastronomía, comunidad","danza folclórica, yoga / meditación, novena navideña, natación, voluntariado, taller de cocina, emprendimiento"
user_551_8208,"academia, deportes y bienestar, artes escénicas, evento tradicional, música","mapalé, danza folclórica, deportes, salsa, academia, verbena"
user_498_a74a,"deportes y bienestar, artes escénicas, gastronomía, comunidad, música","food truck, danza folclórica, evento infantil, festival de mariscos, música en vivo, voleibol de playa, exposición de arte, atletismo"
user_685_6d99,"academia, evento tradicional, gastronomía, comunidad, otros, música","feria comunitaria, gastronomía, mercado de pulgas, mapalé, conferencia, vallenato, religioso / espiritual, picó"
user_975_825b,"gastronomía, evento tradicional","carnaval barrial, mercado campesino"
user_212_5a1a,"artes escénicas, otros, evento tradicional, música","performance, picó, reggae, turismo cultural"
user_945_1945,"artes escénicas, gastronomía, música","reggaeton, performance, gastronomía, galería, food truck, electrónica"
user_137_4bd2,"academia, deportes y bienestar, evento tradicional, comunidad, música","voleibol de playa, evento familiar, conferencia, vallenato, carnaval barrial, reggaeton, verbena, fiesta de fin de año"
user_703_19a5,"comunidad, otros, evento tradicional, música","carnaval barrial, videojuegos / gaming, voluntariado, salsa, verbena"
user_198_89d0,"deportes y bienestar, evento tradicional, gastronomía, comunidad, otros, música","carnaval barrial, turismo cultural, evento infantil, vallenato, electrónica, skateboarding, gastronomía"
user_477_b62d,"academia, artes escénicas, evento tradicional, otros, música","danza folclórica, turismo cultural, festival gastronómico, fandango, networking"
user_818_2133,"música, comunidad, evento tradicional, deportes y bienestar","voluntariado, natación, fiesta de fin de año, feria de artesanos, jazz"
user_583_385e,"deportes y bienestar, artes escénicas, gastronomía, comunidad, música","performance, gastronomía, voluntariado, fandango, atletismo, títeres / marionetas, danza folclórica"
user_858_c230,"academia, artes escénicas, evento tradicional, gastronomía, música","festival de mariscos, títeres / marionetas, conferencia, música en vivo, galería, verbena"
user_533_b959,"evento tradicional, música","fiesta de fin de año, vallenato"
user_651_afec,"academia, deportes y bienestar, evento tradicional, gastronomía, música","mercado campesino, reggae, crossfit, food truck, verbena, academia"
user_156_397b,"academia, deportes y bienestar, artes escénicas, evento tradicional, gastronomía, comunidad, otros, música","gastronomía, verbena, voleibol de playa, charla TED-style, mercado de pulgas, religioso / espiritual, vallenato, cineclub"
user_213_e057,"gastronomía, otros, música","gaitas, champeta, videojuegos / gaming, fandango, mercado campesino"
user_191_1ca5,"otros, academia","conferencia, moda / pasarela"
user_870_52c6,"artes escénicas, música, academia, deportes y bienestar","títeres / marionetas, artes marciales, networking, porro, conferencia"
user_372_1a30,"gastronomía, evento tradicional, deportes y bienestar","gastronomía, voleibol de playa, feria de artesanos"
user_489_7f51,"gastronomía, deportes y bienestar, academia, música","reggae, gastronomía, networking, mercado campesino, ciclismo"
user_988_9ee8,"artes escénicas, gastronomía, academia, deportes y bienestar","gastronomía, charla TED-style, emprendimiento, deportes, exposición de arte"
user_813_edac,"gastronomía, comunidad, evento tradicional","evento familiar, festival de mariscos, reinado popular"
user_673_5f93,"artes escénicas, música","vallenato, títeres / marionetas, música en vivo"
user_158_ed31,artes escénicas,"galería, títeres / marionetas, grafiti / arte urbano, danza folclórica"
user_402_43fb,"artes escénicas, comunidad, música","minga barrial, fandango, poesía / declamación"
user_978_a4c5,"artes escénicas, deportes y bienestar, evento tradicional, música","rap / hip-hop, teatro comunitario, salsa, desfile, stand-up comedy, yoga / meditación"
user_663_c92e,"comunidad, academia, deportes y bienestar","natación, feria comunitaria, networking"
user_576_4a96,"gastronomía, deportes y bienestar","taller de cocina, ciclismo"
user_237_5c63,"artes escénicas, otros, academia, música","stand-up comedy, cineclub, turismo cultural, hackathon, electrónica, rock, poesía / declamación"
user_457_6d1c,"artes escénicas, otros, deportes y bienestar","títeres / marionetas, videojuegos / gaming, ciclismo"
user_682_6f67,"academia, deportes y bienestar, artes escénicas, evento tradicional, gastronomía","galería, gastronomía, grafiti / arte urbano, artes marciales, festival de mariscos, feria de ciencia, feria de artesanos"
user_201_e510,"comunidad, música","merecumbé, evento infantil, evento familiar, chandé, voluntariado, jazz"
user_153_8051,"academia, música","rock, emprendimiento, gaitas"
user_366_c9d4,"artes escénicas, academia","conferencia, grafiti / arte urbano"
user_577_b701,"deportes y bienestar, artes escénicas, gastronomía, otros, música","fandango, deportes, cata de vinos / cocteles, religioso / espiritual, performance, chandé"
user_960_0bb5,"artes escénicas, comunidad, otros, música","teatro comunitario, minga barrial, chandé, cineclub, vallenato, mapalé, fotografía, galería"
user_451_3c5f,"artes escénicas, deportes y bienestar, otros, música","porro, turismo cultural, deportes, cineclub, exposición de arte, grafiti / arte urbano, rap / hip-hop"
