evento,categorias_padre,subcategorias
event_803_19b7,"gastronomía, evento tradicional, artes escénicas","carnaval barrial, cineclub, gastronomía"
event_353_706c,"evento tradicional, música","rap / hip-hop, verbena"
event_650_27d5,"deportes y bienestar, comunidad, música","evento familiar, electrónica, ciclismo"
event_398_88cb,"evento tradicional, academia, artes escénicas","hackathon, cineclub, verbena"
event_326_de02,"evento tradicional, deportes y bienestar","fiesta de fin de año, skateboarding"
event_978_54b6,"comunidad, deportes y bienestar","evento familiar, ciclismo"
event_902_6349,"gastronomía, artes escénicas, música","mapalé, taller de cocina, títeres / marionetas"
event_449_5dde,"otros, música, artes escénicas","teatro comunitario, tecnología, merecumbé"
event_808_2640,otros,religioso / espiritual
event_843_9922,"artes escénicas, deportes y bienestar","atletismo, teatro comunitario"
event_972_8068,"otros, evento tradicional, academia","tecnología, feria de artesanos, hackathon"
event_650_7378,evento tradicional,festival gastronómico
event_833_1e78,música,gaitas
event_349_19d2,"artes escénicas, comunidad, deportes y bienestar","skateboarding, evento familiar, títeres / marionetas"
event_810_afea,"gastronomía, evento tradicional, comunidad","mercado campesino, minga barrial, desfile"
event_786_b7b2,"academia, música","charla TED-style, gaitas"
event_567_20de,"música, deportes y bienestar","skateboarding, porro, vallenato"
event_231_a42b,academia,taller / workshop
event_275_f708,artes escénicas,cineclub
event_867_5f5e,"otros, comunidad","religioso / espiritual, minga barrial"
event_645_b708,música,reggae
event_395_60b9,comunidad,evento infantil
event_485_2ab5,"evento tradicional, artes escénicas","festival gastronómico, poesía / declamación"
event_753_787f,"academia, música","gaitas, networking, salsa"
event_449_2380,"academia, música","taller / workshop, chandé"
event_352_1f83,música,rock
event_527_2f42,"gastronomía, academia","networking, gastronomía"
event_191_3772,gastronomía,taller de cocina
event_451_8fd2,"academia, deportes y bienestar","hackathon, natación"
event_458_c744,academia,feria de ciencia
event_632_b460,"academia, música","emprendimiento, fandango, taller / workshop"
event_318_b411,comunidad,feria comunitaria
event_202_1c27,deportes y bienestar,skateboarding
event_780_d867,"academia, deportes y bienestar","ciclismo, networking, emprendimiento"
event_544_dbd3,academia,feria de ciencia
event_263_a39c,música,rock
event_566_1a37,"música, deportes y bienestar","fútbol, electrónica, atletismo"
event_664_ebf1,"artes escénicas, música","electrónica, galería"
event_287_5544,"otros, evento tradicional","reinado popular, turismo cultural"
event_797_30de,artes escénicas,"poesía / declamación, circo, galería"
event_701_dfdf,"gastronomía, deportes y bienestar","festival de mariscos, ciclismo"
event_477_8fd0,música,salsa
event_453_645e,"evento tradicional, artes escénicas","fiesta de fin de año, festival gastronómico, teatro comunitario"
event_489_4639,"deportes y bienestar, evento tradicional, artes escénicas","danza folclórica, natación, feria de artesanos"
event_217_3bd8,comunidad,"evento infantil, minga barrial"
event_167_7a27,"música, academia, deportes y bienestar","yoga / meditación, academia, salsa"
event_336_1b35,"otros, academia, artes escénicas","poesía / declamación, taller / workshop, fotografía"
event_469_8494,artes escénicas,teatro comunitario
event_910_6e59,evento tradicional,feria de artesanos
event_405_78ad,"gastronomía, evento tradicional","feria de artesanos, cata de vinos / cocteles"
event_328_45cb,"música, artes escénicas","circo, mapalé"
event_839_e9b1,evento tradicional,fiesta de fin de año
event_474_0fde,deportes y bienestar,"natación, deportes"
event_507_6cef,artes escénicas,danza folclórica
event_738_2d42,evento tradicional,"novena navideña, festival gastronómico"
event_953_2c28,"otros, música","cumbia, moda / pasarela"
event_371_aa67,"evento tradicional, academia, música","verbena, networking, electrónica"
event_432_9c04,otros,tecnología
event_375_d130,academia,conferencia
event_452_9d99,"evento tradicional, comunidad","fiesta de fin de año, mercado de pulgas"
event_208_f3d1,"otros, academia, artes escénicas","fotografía, teatro comunitario, academia"
event_782_e3f4,"evento tradicional, música","chandé, carnaval barrial"
event_285_0cb3,artes escénicas,circo
event_931_70f1,"gastronomía, academia","taller de cocina, hackathon"
event_716_8343,"música, deportes y bienestar","deportes, reggaeton"
event_479_7c84,evento tradicional,reinado popular
event_956_31e5,"otros, deportes y bienestar","moda / pasarela, atletismo, videojuegos / gaming"
event_118_8615,"otros, comunidad","fotografía, feria comunitaria"
event_919_47a3,"academia, artes escénicas","academia, danza folclórica, networking"
event_784_cd0c,"otros, evento tradicional, deportes y bienestar","festival gastronómico, skateboarding, fotografía"
event_490_97d7,"música, deportes y bienestar","yoga / meditación, música en vivo"
event_501_0b0e,"otros, artes escénicas","teatro comunitario, fotografía"
event_492_90c4,"evento tradicional, música, artes escénicas","fiesta de fin de año, danza folclórica, merecumbé"
event_978_7647,"otros, comunidad","moda / pasarela, mercado de pulgas"
event_760_fa27,"artes escénicas, comunidad, deportes y bienestar","natación, galería, voluntariado"
event_509_ad7d,"otros, evento tradicional","feria de artesanos, videojuegos / gaming"
event_471_f733,"deportes y bienestar, evento tradicional, música","electrónica, crossfit, fiesta de fin de año"
event_909_411e,"evento tradicional, música","feria de artesanos, jazz"
event_746_c25c,música,electrónica
event_263_a372,deportes y bienestar,artes marciales
event_318_10cd,otros,religioso / espiritual
event_668_3134,"academia, música, deportes y bienestar","ciclismo, reggae, emprendimiento"
event_112_3e7f,academia,feria de ciencia
event_747_9b23,otros,religioso / espiritual
event_732_16d8,"deportes y bienestar, artes escénicas","galería, ciclismo"
event_220_1f62,evento tradicional,picó
event_135_1f2a,gastronomía,gastronomía
event_825_c9e1,"evento tradicional, artes escénicas","cineclub, verbena"
event_540_f923,"otros, gastronomía, deportes y bienestar","voleibol de playa, moda / pasarela, mercado campesino"
event_843_9c10,"evento tradicional, música, deportes y bienestar","feria de artesanos, natación, rock"
event_270_ad12,evento tradicional,carnaval barrial
event_839_6190,evento tradicional,fiesta de fin de año
event_983_7cc0,"gastronomía, academia","taller de cocina, networking"
event_729_9ad3,"evento tradicional, música","carnaval barrial, reggae"
event_444_a6d3,"evento tradicional, artes escénicas","circo, festival gastronómico"
event_921_be3a,"academia, música","mapalé, academia"
event_234_93fe,"música, artes escénicas","stand-up comedy, gaitas"
event_393_6cb3,comunidad,minga barrial
event_515_6554,"música, deportes y bienestar","skateboarding, champeta"
event_155_0732,gastronomía,food truck
event_724_9aa5,"deportes y bienestar, evento tradicional, música","porro, deportes, verbena"
event_298_4869,"gastronomía, artes escénicas","galería, cata de vinos / cocteles"
event_264_cf98,"deportes y bienestar, artes escénicas","circo, atletismo, natación"
event_893_9678,deportes y bienestar,deportes
event_976_7654,comunidad,mercado de pulgas
event_955_6d51,artes escénicas,teatro comunitario
event_871_ac8f,música,mapalé
event_636_e6f8,"gastronomía, academia, artes escénicas","cineclub, conferencia, taller de cocina"
event_721_9d62,música,chandé
event_292_8c28,academia,academia
event_543_8596,"artes escénicas, música, deportes y bienestar","natación, gaitas, títeres / marionetas"
event_718_12ee,deportes y bienestar,voleibol de playa
event_502_e335,"evento tradicional, artes escénicas","feria de artesanos, cineclub"
event_511_a5bf,"música, deportes y bienestar","deportes, electrónica"
event_434_fb15,música,"vallenato, salsa"
event_174_c0cc,gastronomía,food truck
event_821_021e,música,"fandango, jazz, gaitas"
event_862_c6c1,"artes escénicas, música, deportes y bienestar","atletismo, cineclub, rap / hip-hop"
event_902_cb3f,"evento tradicional, comunidad, música","rock, evento infantil, picó"
event_872_2e90,comunidad,feria comunitaria
event_808_bd4d,academia,hackathon
event_598_01b1,música,merecumbé
event_744_7c44,música,música en vivo
event_513_9c07,"comunidad, artes escénicas","minga barrial, voluntariado, performance"
event_990_b2d7,"otros, evento tradicional, deportes y bienestar","fotografía, deportes, desfile"
event_204_191f,música,jazz
event_572_a3c4,"evento tradicional, música","chandé, fiesta de fin de año"
event_408_f02d,"evento tradicional, música","electrónica, novena navideña, carnaval barrial"
event_437_07a4,otros,turismo cultural
event_144_1573,"música, deportes y bienestar","crossfit, natación, champeta"
event_520_dc9d,"comunidad, academia","academia, evento infantil"
event_783_49ac,"otros, academia","tecnología, taller / workshop"
event_178_6df7,"deportes y bienestar, música","música en vivo, atletismo"
event_222_df9a,comunidad,voluntariado
event_663_218d,"música, artes escénicas","grafiti / arte urbano, electrónica, teatro comunitario"
event_143_d881,"otros, música","fotografía, salsa"
event_924_82df,"deportes y bienestar, artes escénicas","títeres / marionetas, deportes"
event_328_7596,"comunidad, academia","taller / workshop, minga barrial"
event_593_1a46,"otros, gastronomía, música","cata de vinos / cocteles, champeta, videojuegos / gaming"
event_751_f5d7,"otros, academia, música","emprendimiento, videojuegos / gaming, música en vivo"
event_894_f427,"deportes y bienestar, artes escénicas, música","mapalé, danza folclórica, natación"
event_473_c731,"otros, gastronomía, deportes y bienestar","mercado campesino, fútbol, videojuegos / gaming"
event_966_3032,"comunidad, música, artes escénicas","exposición de arte, cumbia, voluntariado"
event_887_ae58,"otros, gastronomía, comunidad","tecnología, food truck, feria comunitaria"
event_497_1ecf,gastronomía,mercado campesino
event_614_ee7a,artes escénicas,títeres / marionetas
event_389_6c29,otros,religioso / espiritual
event_903_07cf,"academia, deportes y bienestar","artes marciales, charla TED-style, emprendimiento"
event_743_c8f0,evento tradicional,carnaval barrial
event_382_4ba3,comunidad,evento infantil
event_287_1d73,"otros, deportes y bienestar, artes escénicas","tecnología, galería, fútbol"
event_590_c659,"deportes y bienestar, comunidad, artes escénicas","exposición de arte, ciclismo, feria comunitaria"
event_632_a1a9,"comunidad, academia, música","fandango, networking, evento familiar"
event_579_8ec8,"academia, deportes y bienestar","feria de ciencia, skateboarding, emprendimiento"
event_446_10e9,deportes y bienestar,crossfit
event_298_fd7f,gastronomía,food truck
event_207_4559,música,reggaeton
event_422_5598,"gastronomía, deportes y bienestar, música","mercado campesino, reggaeton, natación"
event_728_ddb6,"otros, gastronomía, artes escénicas","taller de cocina, performance, religioso / espiritual"
event_621_8352,otros,moda / pasarela
event_621_fe98,otros,tecnología
event_418_f75c,"academia, música","porro, hackathon"
event_809_bf20,"deportes y bienestar, artes escénicas, música","rock, skateboarding, cineclub"
event_883_b87a,artes escénicas,stand-up comedy
event_867_4eb1,academia,feria de ciencia
event_966_de6f,"evento tradicional, música, deportes y bienestar","picó, artes marciales, rock"
event_753_10e3,"deportes y bienestar, comunidad, música","mercado de pulgas, rap / hip-hop, ciclismo"
event_908_0cc3,"música, deportes y bienestar","yoga / meditación, chandé, cumbia"
event_840_61cd,"gastronomía, evento tradicional","verbena, taller de cocina"
event_579_f807,comunidad,feria comunitaria
event_123_4347,artes escénicas,cineclub
event_652_949b,artes escénicas,exposición de arte
event_253_dae7,música,champeta
event_388_c037,"deportes y bienestar, música","jazz, yoga / meditación"
event_662_e11e,"gastronomía, artes escénicas","performance, taller de cocina"
event_250_5f5f,"evento tradicional, academia","charla TED-style, carnaval barrial"
event_515_c5fc,"gastronomía, música, deportes y bienestar","cata de vinos / cocteles, fútbol, vallenato"
event_895_f209,"gastronomía, artes escénicas","poesía / declamación, grafiti / arte urbano, festival de mariscos"
event_242_fc2c,deportes y bienestar,atletismo
event_763_b680,artes escénicas,danza folclórica
event_978_7142,"deportes y bienestar, música","rap / hip-hop, fútbol"
event_632_f2b6,artes escénicas,grafiti / arte urbano
event_784_4cd6,"academia, artes escénicas","cineclub, taller / workshop"
event_356_9f27,gastronomía,taller de cocina
event_272_96f3,música,"reggaeton, electrónica"
event_662_c8c9,"otros, música, artes escénicas","religioso / espiritual, circo, chandé"
event_462_763f,"gastronomía, evento tradicional","mercado campesino, festival gastronómico"
event_453_5892,"otros, música","fotografía, champeta"
event_221_222e,comunidad,mercado de pulgas
event_520_c2a8,academia,charla TED-style
event_392_d914,academia,academia
event_444_16fb,"música, deportes y bienestar","yoga / meditación, porro"
event_100_109c,"gastronomía, música","gastronomía, gaitas"
event_349_7421,"comunidad, artes escénicas","mercado de pulgas, galería, feria comunitaria"
event_502_642a,música,"reggaeton, merecumbé"
event_112_1b10,música,"rock, jazz"
event_334_6756,otros,videojuegos / gaming
event_719_871e,música,champeta
event_665_7309,"otros, academia, deportes y bienestar","skateboarding, taller / workshop, fotografía"
event_726_cfda,música,porro
event_283_bdf2,"artes escénicas, deportes y bienestar","skateboarding, circo"
event_164_2c9b,"deportes y bienestar, música","reggae, natación"
event_942_8ea9,"evento tradicional, música","carnaval barrial, mapalé"
event_808_73d0,"evento tradicional, comunidad, artes escénicas","grafiti / arte urbano, mercado de pulgas, festival gastronómico"
event_381_0e52,música,"música en vivo, reggaeton, jazz"
event_915_d29d,"deportes y bienestar, evento tradicional, música","novena navideña, reggaeton, atletismo"
event_612_8865,deportes y bienestar,deportes
event_316_5abe,deportes y bienestar,"natación, crossfit"
event_763_9155,"otros, gastronomía, deportes y bienestar","cata de vinos / cocteles, ciclismo, tecnología"
event_639_c78e,"otros, artes escénicas","grafiti / arte urbano, fotografía"
event_254_346d,deportes y bienestar,crossfit
event_506_0c9a,"gastronomía, deportes y bienestar, música","música en vivo, cata de vinos / cocteles, atletismo"
event_149_1a58,música,gaitas
event_900_5817,artes escénicas,"cineclub, circo"
event_837_15fe,academia,taller / workshop
event_890_7acd,"deportes y bienestar, academia, música","cumbia, voleibol de playa, conferencia"
event_621_a540,gastronomía,"gastronomía, festival de mariscos"
event_950_4020,evento tradicional,verbena
event_404_b13c,"gastronomía, comunidad, deportes y bienestar","feria comunitaria, artes marciales, taller de cocina"
event_304_e1b9,"música, academia, artes escénicas","exposición de arte, emprendimiento, música en vivo"
event_851_e96f,"comunidad, deportes y bienestar","natación, minga barrial, mercado de pulgas"
